ï»¿finess_et,raison_sociale,voie,adresse_complete,num_tel,num_fax,type_etablissement,date_ouverture,lat,lng,wgs84,COMMUNE,comune
920014529,CMP W.GRANOFF 92 I 03,HENRI BARBUSSE,78 R HENRI BARBUSSE,147213674,141372967,Autres Etablissements de Lutte contre les Maladies Mentales,39140,48.8919047,2.1909398,"48.8919047, 2.1909398",NANTERRE,http://www.wikidata.org/entity/Q170507
920170040,HOPITAL DE JOUR CENTRE DIOGENE,FERNANDO,3 R FERNANDO,147214000,147240765,Centres Hospitaliers,25212,48.8920772,2.1910534,"48.8920772, 2.1910534",NANTERRE,http://www.wikidata.org/entity/Q170507
920808920,HOPITAL DE JOUR LE PARCNANTERRE I03,VIOLANT,41 R VIOLANT,147210742,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8925542,2.1972773,"48.8925542, 2.1972773",NANTERRE,http://www.wikidata.org/entity/Q170507
920002508,CTRE LONG SEJOUR LES ABONDANCES,DES ABONDANCES,52 R DES ABONDANCES,141109720,146049045,Etablissements de Soins de Longue DurÃ©e,367,48.8461386,2.2302831,"48.8461386, 2.2302831",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
920024205,CENTRE SOINS DE SUITE LES ABONDANCES,DES ABONDANCES,56 R DES ABONDANCES,141225656,141225645,Centres Hospitaliers,367,48.8466901,2.2304031,"48.8466901, 2.2304031",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
920811908,CENTRE D'ACCUEIL THERAPEUTIQUE,SAINT DENIS,41 R SAINT DENIS,146032683,,Autres Etablissements de Lutte contre les Maladies Mentales,32509,48.8457559,2.2321347,"48.8457559, 2.2321347",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
950786970,CENTRE DE JOUR M'BORAYU 95I01,GALLIENI,25 BD GALLIENI,134232476,134232459,Autres Etablissements de Lutte contre les Maladies Mentales,32514,48.9428616,2.2432396,"48.9428616, 2.2432396",ARGENTEUIL,http://www.wikidata.org/entity/Q181946
910300011,HOPITAL PRIVÃ‰ DE PARIS - ESSONNE,PIERRE BROSSOLETTE,12 BD PIERRE BROSSOLETTE,169268888,169260902,Etablissements de Soins de Courte DurÃ©e,25297,48.5931082,2.249001,"48.5931082, 2.249001",ARPAJON,http://www.wikidata.org/entity/Q646708
750300840,CLINIQUE DE LA MUETTE,NICOLO,46 R NICOLO,140723333,140726550,Etablissements de Soins de Courte DurÃ©e,12297,48.8603562,2.2777603,"48.8603562, 2.2777603",PARIS,http://www.wikidata.org/entity/Q90
920006038,MAISON THERAPEUTIQUE,DES PYRENEES,10 BD DES PYRENEES,149841931,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,37726,48.7355063,2.2781759,"48.7355063, 2.2781759",ANTONY,http://www.wikidata.org/entity/Q205592
750005779,CENTRE ADULTE BONNET,DU COLONEL BONNET,11 AV DU COLONEL BONNET,142307818,142307743,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,33614,48.8554944,2.2782396,"48.8554944, 2.2782396",PARIS,http://www.wikidata.org/entity/Q90
750005449,CENTRE  PICOT,PICOT,6 R PICOT,156261212,156261210,Autres Etablissements de Lutte contre les Maladies Mentales,36504,48.8709172,2.2821631,"48.8709172, 2.2821631",PARIS,http://www.wikidata.org/entity/Q90
920018959,CMP 92G04,DU PRESIDENT WILSON,86 R DU PRESIDENT WILSON,,,Autres Etablissements de Lutte contre les Maladies Mentales,39981,48.8948674,2.2880522,"48.8948674, 2.2880522",LEVALLOIS PERRET,http://www.wikidata.org/entity/Q166640
750150187,MAISON MEDICALE JEANNE GARNIER,EMILE ZOLA,106 AV EMILE ZOLA,143922100,143922110,Etablissements de Soins de Courte DurÃ©e,34335,48.8466393,2.2897932,"48.8466393, 2.2897932",PARIS,http://www.wikidata.org/entity/Q90
950015347,HOPITAL DE JOUR I05,ROUTE DE NOISY,ROUTE DE NOISY,,,Centres Hospitaliers,36516,49.144338,2.290411,"49.144338, 2.290411",BEAUMONT SUR OISE,http://www.wikidata.org/entity/Q243212
910007459,CATTP LE PATIO CHAMPLAN,DE VERSAILLES,6 RTE DE VERSAILLES,169097745,,Autres Etablissements de Lutte contre les Maladies Mentales,30321,48.6989992,2.2910865,"48.6989992, 2.2910865",CHAMPLAN,http://www.wikidata.org/entity/Q1142878
750300741,CLINIQUE VICTOR HUGO,DU DOME,5B R DU DOME,153655365,153655370,Etablissements de Soins de Courte DurÃ©e,11672,48.8713798,2.2913808,"48.8713798, 2.2913808",PARIS,http://www.wikidata.org/entity/Q90
750006249,CENTRE ARMAILLE,D'ARMAILLÃ‰,1719 R D'ARMAILLÃ‰,145740004,156687038,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,26715,48.878101,2.2915469,"48.878101, 2.2915469",PARIS,http://www.wikidata.org/entity/Q90
750802241,CMP ENFANTS PIERRE DEMOURS,PIERRE DEMOURS,15 R PIERRE DEMOURS,145744696,153810367,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8806069,2.2930475,"48.8806069, 2.2930475",PARIS,http://www.wikidata.org/entity/Q90
920024635,CMP ADULTES 92G01 THORETTON,JEAN JAURES,29 R JEAN JAURES,141479465,141479463,Autres Etablissements de Lutte contre les Maladies Mentales,35796,48.9306193,2.2950665,"48.9306193, 2.2950665",GENNEVILLIERS,http://www.wikidata.org/entity/Q221968
750300592,CLINIQUE BLOMET,BLOMET,136B R BLOMET,140453737,140453760,Etablissements de Soins de Courte DurÃ©e,367,48.8394852,2.2961015,"48.8394852, 2.2961015",PARIS,http://www.wikidata.org/entity/Q90
750833337,CMP ENFANTS TIPHAINE  NECKER,TIPHAINE,23 R TIPHAINE,145754702,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8488179,2.2964935,"48.8488179, 2.2964935",PARIS,http://www.wikidata.org/entity/Q90
750170219,HOPITAL DE JOUR SANTOS-DUMONT,SANTOS DUMONT,25 VLA SANTOS DUMONT,148284333,142502823,Autres Etablissements de Lutte contre les Maladies Mentales,23081,48.8337932,2.3049715,"48.8337932, 2.3049715",PARIS,http://www.wikidata.org/entity/Q90
750301137,CLINIQUE CHIRURG ALLERAY-LABROUSTE,LABROUSTE,64 R LABROUSTE,144195000,144195188,Etablissements de Soins de Courte DurÃ©e,25938,48.832139,2.3065391,"48.832139, 2.3065391",PARIS,http://www.wikidata.org/entity/Q90
750006439,CENTRE  ADULTES ROCHEFORT,HENRI ROCHEFORT,3133 R HENRI ROCHEFORT,147660450,144159763,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8821044,2.3076576,"48.8821044, 2.3076576",PARIS,http://www.wikidata.org/entity/Q90
750802373,CMP ENFANTS - A.D.H.M.I,BRUNE,26 BD BRUNE,140443912,145390010,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8270097,2.3077751,"48.8270097, 2.3077751",PARIS,http://www.wikidata.org/entity/Q90
920150018,HOPITAL GOUIN,GASTON PAYMAL,2 R GASTON PAYMAL,141068100,147300561,Etablissements de Soins de Suite et de RÃ©adaptation,367,48.9016788,2.3110079,"48.9016788, 2.3110079",CLICHY,http://www.wikidata.org/entity/Q201982
920813789,FOYER DE POST CURE MONTROUGE,VERDIER,61 AV VERDIER,147460908,141170520,Autres Etablissements de Lutte contre les Maladies Mentales,32882,48.8159032,2.3134679,"48.8159032, 2.3134679",MONTROUGE,http://www.wikidata.org/entity/Q241021
750100141,GPE HOSP BROUSSAIS-HEGP,DIDOT,96 R DIDOT,143959595,145147014,Centres Hospitaliers RÃ©gionaux,1556,48.8272791,2.3144097,"48.8272791, 2.3144097",PARIS,http://www.wikidata.org/entity/Q90
750150310,CENTRE PASTEUR VALLERY RADOT,DES PLANTES,68 R DES PLANTES,153626666,153626747,Etablissements de Soins de Courte DurÃ©e,28133,48.8264869,2.3198741,"48.8264869, 2.3198741",PARIS,http://www.wikidata.org/entity/Q90
750150146,HOPITAL LEOPOLD BELLAN,VERCINGETORIX,19 R VERCINGETORIX,140486868,143219813,Etablissements de Soins de Courte DurÃ©e,4478,48.8373764,2.3200169,"48.8373764, 2.3200169",PARIS,http://www.wikidata.org/entity/Q90
750043184,CMP ENFANTS CHOMEL,CHOMEL,12 R CHOMEL,142227070,142223358,Autres Etablissements de Lutte contre les Maladies Mentales,35431,48.8519394,2.3249202,"48.8519394, 2.3249202",PARIS,http://www.wikidata.org/entity/Q90
750007288,CMP MARCADET,MARCADET,258 R MARCADET,146272032,146270015,Autres Etablissements de Lutte contre les Maladies Mentales,32820,48.8926259,2.3296582,"48.8926259, 2.3296582",PARIS,http://www.wikidata.org/entity/Q90
750100315,MAISON MEDICALE ROCHEFOUCAULT AP-HP,DU GENERAL LECLERC,15 AV DU GENERAL LECLERC,144083000,,Etablissements de Soins de Longue DurÃ©e,1556,48.832189,2.3307216,"48.832189, 2.3307216",PARIS,http://www.wikidata.org/entity/Q90
750802357,CENTRE ENFANTS CORENTIN,DU PERE CORENTIN,22 R DU PERE CORENTIN,143271734,143204899,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8262492,2.3307716,"48.8262492, 2.3307716",PARIS,http://www.wikidata.org/entity/Q90
750814881,HOPITAL DE JOUR JEAN DOLLFUS,JEAN DOLLFUS,8 R JEAN DOLLFUS,142288363,142281618,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8966443,2.3334914,"48.8966443, 2.3334914",PARIS,http://www.wikidata.org/entity/Q90
750826018,CMP ADULTES JEAN-DOLLFUS,JEAN-DOLLFUS,8 R JEAN-DOLLFUS,142288363,142281618,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8966443,2.3334914,"48.8966443, 2.3334914",PARIS,http://www.wikidata.org/entity/Q90
750006298,CENTRE RUE DE DOUAI,RUE DE DOUAI,20B R RUE DE DOUAI,148780521,148789280,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8819149,2.334349,"48.8819149, 2.334349",PARIS,http://www.wikidata.org/entity/Q90
750826471,HOPITAL DE JOUR LAMARTINE,CABANIS,1 R CABANIS,140726608,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,32237,48.8302646,2.3412612,"48.8302646, 2.3412612",PARIS,http://www.wikidata.org/entity/Q90
750160012,INSTITUT CURIE,D'ULM,26 R D'ULM,144324000,143290203,Centres de Lutte contre le Cancer,7765,48.8435418,2.3447836,"48.8435418, 2.3447836",PARIS,http://www.wikidata.org/entity/Q90
750140030,POLYCLINIQUE PSYCHIATRIQUE WÃœRTZ,WURTZ,10 R WURTZ,153622500,153622479,Autres Etablissements de Lutte contre les Maladies Mentales,28199,48.8273142,2.3450518,"48.8273142, 2.3450518",PARIS,http://www.wikidata.org/entity/Q90
750140055,CENTRE RENE CAPITANT,LANNEAU,8 R LANNEAU,144411930,144411939,Autres Etablissements de Lutte contre les Maladies Mentales,29681,48.8483432,2.3466214,"48.8483432, 2.3466214",PARIS,http://www.wikidata.org/entity/Q90
750170110,HOPITAL DE JOUR BOULLOCHE CEREP,DU FBG POISSONNIÃˆRE,56 R DU FBG POISSONNIÃˆRE,142460860,145230492,Autres Etablissements de Lutte contre les Maladies Mentales,29230,48.8749754,2.3481136,"48.8749754, 2.3481136",PARIS,http://www.wikidata.org/entity/Q90
750003956,FOYER DE POST-CURE DES GOBELINS,DES GOBELINS,7 R DES GOBELINS,143369945,143363249,Autres Etablissements de Lutte contre les Maladies Mentales,33604,48.8357354,2.3516383,"48.8357354, 2.3516383",PARIS,http://www.wikidata.org/entity/Q90
750806226,HOSPITALISATION A DOMICILE AP- HP,VESALE,14 R VESALE,155436800,155436803,Centres Hospitaliers RÃ©gionaux,22097,48.837893,2.3521788,"48.837893, 2.3521788",PARIS,http://www.wikidata.org/entity/Q90
910808112,CENTRE MEDICO-PSY. 91 G 06,DU GENERAL DE GAULLE,4 AV DU GENERAL DE GAULLE,169055657,169056327,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7024755,2.3527975,"48.7024755, 2.3527975",SAVIGNY SUR ORGE,http://www.wikidata.org/entity/Q243956
750170599,ATELIER THERAPEUTIQUE HUBERT MIGNOT,HOSPITALIÃˆRES ST-GERVAIS,12 R HOSPITALIÃˆRES ST-GERVAIS,148870422,148873996,Autres Etablissements de Lutte contre les Maladies Mentales,29060,48.8580864,2.3590526,"48.8580864, 2.3590526",PARIS,http://www.wikidata.org/entity/Q90
940000359,CTRE MEDICO-PSYCHOLOGIQUE 94I06,DU PDT ROOSEVELT,71B AV DU PDT ROOSEVELT,146860100,146860615,Autres Etablissements de Lutte contre les Maladies Mentales,23378,48.7700254,2.3646671,"48.7700254, 2.3646671",CHEVILLY LARUE,http://www.wikidata.org/entity/Q258757
910300151,CTRE DE REEDUC. KORIAN L'OBSERVATOIRE,DE LA COUR DE FRANCE,33 AV DE LA COUR DE FRANCE,169846700,169846699,Etablissements de Soins de Suite et de RÃ©adaptation,18722,48.6923341,2.370521,"48.6923341, 2.370521",JUVISY SUR ORGE,http://www.wikidata.org/entity/Q752255
750050510,CENTRE DE CRISE ROQUETTE,DE LA ROQUETTE,63 R DE LA ROQUETTE,,,Autres Etablissements de Lutte contre les Maladies Mentales,40689,48.8558373,2.3752069,"48.8558373, 2.3752069",PARIS,http://www.wikidata.org/entity/Q90
930801451,CENTRE MEDICO-PSYCH.LAMARTINE,LAMARTINE,8 R LAMARTINE,148221791,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9508194,2.3775909,"48.9508194, 2.3775909",STAINS,http://www.wikidata.org/entity/Q258878
950802728,CENTRE MEDICO-PSYCHOLOGIQUE G09,MARX DORMOY,66 AV MARX DORMOY,134294642,134194288,Autres Etablissements de Lutte contre les Maladies Mentales,1556,49.0035293,2.3820346,"49.0035293, 2.3820346",SARCELLES,http://www.wikidata.org/entity/Q107501
930005798,CENTRE MEDICO PSYCHOLOGIQUE,DU GENERAL LECLERC,29 AV DU GENERAL LECLERC,148368718,,Autres Etablissements de Lutte contre les Maladies Mentales,37622,48.9253556,2.3834181,"48.9253556, 2.3834181",LA COURNEUVE,http://www.wikidata.org/entity/Q244725
940804743,CENTRE MEDICO-PSYCHOLOGIQUE 94G11,AUDIGEOIS,9 R AUDIGEOIS,146810650,146826337,Autres Etablissements de Lutte contre les Maladies Mentales,28492,48.7917808,2.3888054,"48.7917808, 2.3888054",VITRY SUR SEINE,http://www.wikidata.org/entity/Q72248
750007999,HOP JOUR CROIX ST SIMON,HAXO,89 R HAXO,144644300,144644302,Etablissements de Soins de Courte DurÃ©e,36891,48.8747633,2.4030507,"48.8747633, 2.4030507",PARIS,http://www.wikidata.org/entity/Q90
910300326,CLINIQUE PASTEUR,DU CLOS,8 R DU CLOS,169256900,169256998,Etablissements de Soins de Courte DurÃ©e,24566,48.656829,2.4053238,"48.656829, 2.4053238",RIS ORANGIS,http://www.wikidata.org/entity/Q274237
910500040,CENTRE DE MOYEN SEJOUR RIS ORANGIS,ALBERT REMY,55 R ALBERT REMY,169527712,169527740,Etablissements de Soins de Suite et de RÃ©adaptation,7306,48.6570705,2.4076579,"48.6570705, 2.4076579",RIS ORANGIS,http://www.wikidata.org/entity/Q274237
940804735,C.M.PSY.ADULTES-CHIV-VILLENEUVE,DE LA REPUBLIQUE,6 AV DE LA REPUBLIQUE,145977318,145613246,Autres Etablissements de Lutte contre les Maladies Mentales,28495,48.7309787,2.4243026,"48.7309787, 2.4243026",VILLENEUVE LE ROI,http://www.wikidata.org/entity/Q669715
930700380,CENTRE MEDICO-PSY,SADI CARNOT,191 R SADI CARNOT,143609983,148972199,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8757275,2.4250856,"48.8757275, 2.4250856",BAGNOLET,http://www.wikidata.org/entity/Q208943
910812569,UNITE CLINIQUE CAMILLE CLAUDEL,HENRI BARBUSSE,194 AV HENRI BARBUSSE,169524350,169524351,Centres Hospitaliers,31973,48.7039461,2.4342562,"48.7039461, 2.4342562",VIGNEUX SUR SEINE,http://www.wikidata.org/entity/Q842037
930002993,HOPITAL DE JOUR 93G13 BOBIGNY,CITE KARL MARX,12  CITE KARL MARX,,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,35289,48.9058684,2.4404886,"48.9058684, 2.4404886",BOBIGNY,http://www.wikidata.org/entity/Q154724
950801712,CENTRE DE LONG SEJOUR CH DE GONESSE,PIERRE DE THEILLEY,25 R PIERRE DE THEILLEY,134532121,134532479,Etablissements de Soins de Longue DurÃ©e,30682,48.9890091,2.4495798,"48.9890091, 2.4495798",GONESSE,http://www.wikidata.org/entity/Q271659
930011259,HOPITAL DE JOUR 93G05 DRANCY,DE LA SOURCE,1 R DE LA SOURCE,,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,37997,48.9179262,2.4507154,"48.9179262, 2.4507154",DRANCY,http://www.wikidata.org/entity/Q201348
910020254,CH SUD FRANCILIEN SITE JEAN JAURES,JEAN JAURES,116 BD JEAN JAURES,,,Centres Hospitaliers,40931,48.6146389,2.4580177,"48.6146389, 2.4580177",CORBEIL ESSONNES,http://www.wikidata.org/entity/Q208812
940300270,HOPITAL PRIVE ARMAND BRILLARD,WATTEAU,3 AV WATTEAU,826301212,143948071,Etablissements de Soins de Courte DurÃ©e,10594,48.8334261,2.472707,"48.8334261, 2.472707",NOGENT SUR MARNE,http://www.wikidata.org/entity/Q212274
930707278,CENTRE MEDICO-PSYCHO.LEBAS,JEAN LEBAS,2 AV JEAN LEBAS,148490202,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9122321,2.4811445,"48.9122321, 2.4811445",BONDY,http://www.wikidata.org/entity/Q237394
910008549,UNITE CLINIQUE VIVALDI,DES BAS COUDRAY,8 R DES BAS COUDRAY,160907746,,Centres Hospitaliers,36880,48.6046447,2.4851745,"48.6046447, 2.4851745",CORBEIL ESSONNES,http://www.wikidata.org/entity/Q208812
930140041,CAC H JOUR  93G09-15-16,JEAN JAURES,81 AV JEAN JAURES,148755582,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8666216,2.487015,"48.8666216, 2.487015",ROSNY SOUS BOIS,http://www.wikidata.org/entity/Q275547
940008139,CLINIQUE MONET,DE VERDUN,34 R DE VERDUN,,,Etablissements de Soins de Suite et de RÃ©adaptation,41153,48.8159171,2.4885633,"48.8159171, 2.4885633",CHAMPIGNY SUR MARNE,http://www.wikidata.org/entity/Q192378
930800925,CENTRE MÃ‰DICO-PSYCHOLOGIQUE VERDUN,DE VERDUN,41 AV DE VERDUN,148482170,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9033263,2.4924578,"48.9033263, 2.4924578",BONDY,http://www.wikidata.org/entity/Q237394
930012448,APPARTEMENT THERAPEUTIQUE,DES MERISIERS,18 ALL DES MERISIERS,148668186,,Autres Etablissements de Lutte contre les Maladies Mentales,28491,48.949774,2.4944372,"48.949774, 2.4944372",AULNAY SOUS BOIS,http://www.wikidata.org/entity/Q192773
940804453,C.M.P.ADULTES PERREUX/M,LOUIS GOURLET,2 R LOUIS GOURLET,143242271,143249818,Autres Etablissements de Lutte contre les Maladies Mentales,25569,48.8468194,2.5074412,"48.8468194, 2.5074412",LE PERREUX SUR MARNE,http://www.wikidata.org/entity/Q990408
940008949,CMP GOURLET,LOUIS GOURLET,2 R LOUIS GOURLET,143242271,143249818,Autres Etablissements de Lutte contre les Maladies Mentales,26299,48.8468194,2.5074412,"48.8468194, 2.5074412",LE PERREUX SUR MARNE,http://www.wikidata.org/entity/Q990408
940300031,HÃ”PITAL PRIVÃ‰ PAUL D'EGINE,MARX DORMOY,4 AV MARX DORMOY,149836600,148819174,Etablissements de Soins de Courte DurÃ©e,22647,48.8117195,2.5175306,"48.8117195, 2.5175306",CHAMPIGNY SUR MARNE,http://www.wikidata.org/entity/Q192378
930300298,POLYCLINIQUE VAUBAN,VAUBAN,135 AV VAUBAN,145097300,145097324,Etablissements de Soins de Courte DurÃ©e,21917,48.9178458,2.5232088,"48.9178458, 2.5232088",LIVRY GARGAN,http://www.wikidata.org/entity/Q180005
930703822,CENTRE MEDICO-PSYCH.E.PECHEUX,ERNEST PECHEUX,5 R ERNEST PECHEUX,143052977,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8642322,2.579751,"48.8642322, 2.579751",GOURNAY SUR MARNE,http://www.wikidata.org/entity/Q245479
770011039,CENTRE LELOUP,MARCELINE LELOUP,20 R MARCELINE LELOUP,164109593,164410367,Autres Etablissements de Lutte contre les Maladies Mentales,38353,48.5945621,2.5835,"48.5945621, 2.5835",SAVIGNY LE TEMPLE,http://www.wikidata.org/entity/Q328010
770811354,CTRE MEDICO-PSYCHOLOGIQUE 77 I05,ARISTIDE BRIANT,126T R ARISTIDE BRIANT,160215740,160441375,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9503954,2.6051393,"48.9503954, 2.6051393",VILLEPARISIS,http://www.wikidata.org/entity/Q387433
770300010,HOPITAL PRIVE DE MARNE CHANTEREINE,CURIE,R CURIE,820167700,164210370,Etablissements de Soins de Courte DurÃ©e,24932,48.88407,2.629476,"48.88407, 2.629476",BROU SUR CHANTEREINE,http://www.wikidata.org/entity/Q250982
770790327,HOPITAL DE JOUR POUR ENFANTS,DES ENFANTS,ALL DES ENFANTS,160056565,160378293,Centres Hospitaliers,36880,48.8519453,2.6365043,"48.8519453, 2.6365043",TORCY,http://www.wikidata.org/entity/Q12423
770790327,HOPITAL DE JOUR POUR ENFANTS,DES ENFANTS,ALL DES ENFANTS,160056565,160378293,Centres Hospitaliers,36880,48.8519453,2.6365043,"48.8519453, 2.6365043",TORCY,http://www.wikidata.org/entity/Q350782
770790327,HOPITAL DE JOUR POUR ENFANTS,DES ENFANTS,ALL DES ENFANTS,160056565,160378293,Centres Hospitaliers,36880,48.8519453,2.6365043,"48.8519453, 2.6365043",TORCY,http://www.wikidata.org/entity/Q10700068
770790327,HOPITAL DE JOUR POUR ENFANTS,DES ENFANTS,ALL DES ENFANTS,160056565,160378293,Centres Hospitaliers,36880,48.8519453,2.6365043,"48.8519453, 2.6365043",TORCY,http://www.wikidata.org/entity/Q1625698
770001253,HOPITAL DE JOUR DE PSYCHIATRIE,SAINT FARON,56 R SAINT FARON,164344892,160095887,Centres Hospitaliers,31176,48.9650627,2.8832435,"48.9650627, 2.8832435",MEAUX,http://www.wikidata.org/entity/Q207620
770016418,CATTP MONTEREAU,GRANDE,35 R GRANDE,164329177,,Autres Etablissements de Lutte contre les Maladies Mentales,39086,48.4223649,2.9590533,"48.4223649, 2.9590533",MONTEREAU FAULT YONNE,http://www.wikidata.org/entity/Q242191
770809168,CTRE MEDICO-PSYCHOLOGIQUE 77G04,PASTEUR,24 R PASTEUR,164082823,164087789,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.5572487,3.0118719,"48.5572487, 3.0118719",NANGIS,http://www.wikidata.org/entity/Q271599
770001444,HOPITAL DE JOUR INFANTO-JUVENILE,DU PALAIS DE JUSTICE,11 R DU PALAIS DE JUSTICE,164033798,164033344,Centres Hospitaliers,35073,48.8132824,3.086031,"48.8132824, 3.086031",COULOMMIERS,http://www.wikidata.org/entity/Q251731
780000428,C.H.I. DE MEULAN SITE DE BÃˆCHEVILLE,BAPTISTE MARCET,1 R BAPTISTE MARCET,130918500,130221641,Centres Hospitaliers,26299,48.987251,1.929839,"48.987251, 1.929839",LES MUREAUX,http://www.wikidata.org/entity/Q317433
780001384,CTRE MEDICO PSYCHOLOGIQUE 78G18,EUGENE HENAFF,14 R EUGENE HENAFF,130168300,130168319,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7705868,2.007244,"48.7705868, 2.007244",TRAPPES,http://www.wikidata.org/entity/Q363266
780001657,HOPITAL PEDIATRIE REEDUCATION BULLION,DE LONGCHENE,RTE DE LONGCHENE,134854300,134854301,Centres Hospitaliers,33970,48.6328837,2.010357,"48.6328837, 2.010357",BULLION,http://www.wikidata.org/entity/Q399968
780800892,LONG SEJOUR LES MAISONNEES,DU CHAMP GAILLARD,10 R DU CHAMP GAILLARD,139274050,,Etablissements de Soins de Longue DurÃ©e,18264,48.9194648,2.0219685,"48.9194648, 2.0219685",POISSY,http://www.wikidata.org/entity/Q457
950013656,APPT THERAP ENTRAIDE DU VEXIN PONTOISE,DE HAYETTE,14 PL DE HAYETTE,130382895,,Autres Etablissements de Lutte contre les Maladies Mentales,31778,49.0078538,2.0383818,"49.0078538, 2.0383818",JOUY LE MOUTIER,http://www.wikidata.org/entity/Q1458468
950005488,CMP PARVIS DE LA PREFECTURE,DE LA PERGOLA,3 PL DE LA PERGOLA,130302252,130302252,Autres Etablissements de Lutte contre les Maladies Mentales,27030,49.035617,2.060325,"49.035617, 2.060325",CERGY,http://www.wikidata.org/entity/Q193903
950300244,CLINIQUE SAINTE-MARIE,CHRISTIAN BARNARD,1 R CHRISTIAN BARNARD,134209696,134209699,Etablissements de Soins de Courte DurÃ©e,23012,49.0730709,2.0760165,"49.0730709, 2.0760165",OSNY,http://www.wikidata.org/entity/Q273133
780011789,MAISON THERAPEUTIQUE,MOLIERE,R MOLIERE,130818710,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,36880,48.7942048,2.1485287,"48.7942048, 2.1485287",VERSAILLES,http://www.wikidata.org/entity/Q621
910110071,CENTRE CHATEAU DU GRAND MESNIL,CHARLES DE GAULLE,2 R CHARLES DE GAULLE,169297632,169297403,Centres Hospitaliers,27435,48.6968957,2.1676256,"48.6968957, 2.1676256",BURES SUR YVETTE,http://www.wikidata.org/entity/Q476865
920100054,HOPITAL RAYMOND POINCARE AP-HP,RAYMOND POINCARE,104 BD RAYMOND POINCARE,147107900,147107823,Centres Hospitaliers RÃ©gionaux,1556,48.8382945,2.1703714,"48.8382945, 2.1703714",GARCHES,http://www.wikidata.org/entity/Q246199
920025160,CATTP 92I05 ENFANTS CHEVAL AGILE,ROGER SALENGRO,1713 AV ROGER SALENGRO,141158177,141158170,Autres Etablissements de Lutte contre les Maladies Mentales,39807,48.8075534,2.1866766,"48.8075534, 2.1866766",CHAVILLE,http://www.wikidata.org/entity/Q494125
950000042,CTRE LA GALIOTE 95G06,D'AQUITAINE,16 SQ D'AQUITAINE,139823643,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9980795,2.2121611,"48.9980795, 2.2121611",ARGENTEUIL,http://www.wikidata.org/entity/Q181946
950032763,APPARTEMENT THERAP CITE DES SYCOMORES,DES SYCOMORES,1 CITE DES SYCOMORES,,,Centres Hospitaliers,36880,48.925687,2.215847,"48.925687, 2.215847",BEZONS,http://www.wikidata.org/entity/Q238429
920014669,CATTP,FELIX FAURE,165 AV FELIX FAURE,146985158,,Autres Etablissements de Lutte contre les Maladies Mentales,39140,48.8828938,2.2232646,"48.8828938, 2.2232646",PUTEAUX,http://www.wikidata.org/entity/Q234743
920000262,CMP ESPACE FAMILLE 92 92G14,J.BAPTISTE CLEMENT,127 AV J.BAPTISTE CLEMENT,146034509,146038032,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8428792,2.2313306,"48.8428792, 2.2313306",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
920003670,INST EUR CHIRURGIE ESTHÃ‰TI PLASTIQUE,ANNA JACQUIN,10 R ANNA JACQUIN,146050505,146840708,Etablissements de Soins de Courte DurÃ©e,34691,48.8447895,2.2317679,"48.8447895, 2.2317679",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
